"Time (s) good cart run #1","Position (m) good cart run #1","Velocity (m/s) good cart run #1","Acceleration (m/s²) good cart run #1","Time (s) bad cart plunger run #2","Position (m) bad cart plunger run #2","Velocity (m/s) bad cart plunger run #2","Acceleration (m/s²) bad cart plunger run #2","Time (s) bad cart magnetic run #3","Position (m) bad cart magnetic run #3","Velocity (m/s) bad cart magnetic run #3","Acceleration (m/s²) bad cart magnetic run #3","Time (s) good cart run #4","Position (m) good cart run #4","Velocity (m/s) good cart run #4","Acceleration (m/s²) good cart run #4","Time (s) good cart Run #5","Position (m) good cart Run #5","Velocity (m/s) good cart Run #5","Acceleration (m/s²) good cart Run #5","Time (s) good cart sail Run #6","Position (m) good cart sail Run #6","Velocity (m/s) good cart sail Run #6","Acceleration (m/s²) good cart sail Run #6","Time (s) stationary test run #7","Position (m) stationary test run #7","Velocity (m/s) stationary test run #7","Acceleration (m/s²) stationary test run #7","Time (s) stationary test run #8","Position (m) stationary test run #8","Velocity (m/s) stationary test run #8","Acceleration (m/s²) stationary test run #8","Time (s) stationary test run #9","Position (m) stationary test run #9","Velocity (m/s) stationary test run #9","Acceleration (m/s²) stationary test run #9","Time (s) stationary test run #10","Position (m) stationary test run #10","Velocity (m/s) stationary test run #10","Acceleration (m/s²) stationary test run #10","Time (s) stationary test run #11","Position (m) stationary test run #11","Velocity (m/s) stationary test run #11","Acceleration (m/s²) stationary test run #11","Time (s) goodd cart run #12","Position (m) goodd cart run #12","Velocity (m/s) goodd cart run #12","Acceleration (m/s²) goodd cart run #12"
24.330,1.08,0.01,0.30,,,,,24.330,1.10,0.04,0.08,24.330,1.10,0.10,0.88,24.330,1.12,0.12,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,24.330,1.11,0.05,-0.87
24.340,1.08,0.01,0.25,,,,,24.340,1.10,0.04,0.11,24.340,1.10,0.10,0.17,24.340,1.12,0.11,-0.57,,,,,,,,,,,,,,,,,,,,,,,,,24.340,1.11,0.06,1.14
24.350,1.08,0.02,0.19,,,,,24.350,1.10,0.04,0.24,24.350,1.10,0.11,-0.51,24.350,1.13,0.10,-0.72,,,,,,,,,,,,,,,,,,,,,,,,,24.350,1.11,0.09,2.17
24.360,1.08,0.02,0.18,,,,,24.360,1.10,0.05,0.27,24.360,1.10,0.09,-0.71,24.360,1.13,0.09,-0.69,,,,,,,,,,,,,,,,,,,,,,,,,24.360,1.11,0.12,1.63
24.370,1.08,0.02,0.22,,,,,24.370,1.10,0.05,0.16,24.370,1.10,0.09,-0.40,24.370,1.13,0.09,-1.31,,,,,,,,,,,,,,,,,,,,,,,,,24.370,1.11,0.12,0.52
24.380,1.08,0.02,0.29,,,,,24.380,1.10,0.05,0.08,24.380,1.10,0.08,0.59,24.380,1.13,0.08,-2.37,,,,,,,,,,,,,,,,,,,,,,,,,24.380,1.11,0.12,-0.48
24.390,1.08,0.02,0.29,,,,,24.390,1.10,0.05,0.11,24.390,1.10,0.09,0.98,24.390,1.13,0.04,-2.77,,,,,,,,,,,,,,,,,,,,,,,,,24.390,1.11,0.12,-1.07
24.400,1.08,0.03,0.27,,,,,24.400,1.10,0.05,0.24,24.400,1.10,0.12,0.88,24.400,1.13,0.00,-1.76,,,,,,,,,,,,,,,,,,,,,,,,,24.400,1.12,0.09,-1.16
24.410,1.08,0.03,0.27,,,,,24.410,1.10,0.06,0.28,24.410,1.10,0.11,0.12,24.410,1.13,0.00,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,24.410,1.12,0.08,-0.77
24.420,1.08,0.03,0.45,,,,,24.420,1.10,0.06,0.14,24.420,1.11,0.12,-0.58,24.420,1.13,0.01,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,24.420,1.12,0.09,0.13
24.430,1.08,0.04,0.78,,,,,24.430,1.10,0.06,-0.05,24.430,1.11,0.10,0.10,24.430,1.13,0.00,-0.10,,,,,,,,,,,,,,,,,,,,,,,,,24.430,1.12,0.08,0.65
24.440,1.08,0.05,0.87,,,,,24.440,1.10,0.06,-0.09,24.440,1.11,0.09,0.68,24.440,1.13,0.00,-0.55,,,,,,,,,,,,,,,,,,,,,,,,,24.440,1.12,0.10,0.51
24.450,1.08,0.06,0.40,,,,,24.450,1.10,0.06,0.06,24.450,1.11,0.14,0.84,24.450,1.13,8.09E-4,-1.60,,,,,,,,,,,,,,,,,,,,,,,,,24.450,1.12,0.10,-0.07
24.460,1.08,0.06,-0.30,,,,,24.460,1.10,0.06,0.21,24.460,1.11,0.12,0.11,24.460,1.13,-0.03,-2.59,,,,,,,,,,,,,,,,,,,,,,,,,24.460,1.12,0.09,-0.71
24.470,1.08,0.05,-0.45,,,,,24.470,1.10,0.06,0.17,24.470,1.11,0.12,-0.66,24.470,1.13,-0.07,-2.43,,,,,,,,,,,,,,,,,,,,,,,,,24.470,1.12,0.09,-0.31
24.480,1.08,0.04,0.23,,,,,24.480,1.10,0.06,0.06,24.480,1.11,0.11,-0.16,24.480,1.13,-0.09,-1.49,,,,,,,,,,,,,,,,,,,,,,,,,24.480,1.12,0.08,0.35
24.490,1.08,0.05,1.10,,,,,24.490,1.10,0.06,-5.55E-13,24.490,1.11,0.10,0.05,24.490,1.13,-0.09,-0.70,,,,,,,,,,,,,,,,,,,,,,,,,24.490,1.12,0.10,0.65
24.500,1.08,0.07,1.16,,,,,24.500,1.11,0.06,-0.02,24.500,1.11,0.13,0.30,24.500,1.13,-0.10,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,24.500,1.12,0.10,0.25
24.510,1.08,0.09,0.25,,,,,24.510,1.11,0.06,0.03,24.510,1.12,0.11,0.13,24.510,1.13,-0.10,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,24.510,1.13,0.10,-0.83
24.520,1.08,0.08,-0.61,,,,,24.520,1.11,0.06,0.11,24.520,1.12,0.13,-0.19,24.520,1.12,-0.11,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,24.520,1.13,0.09,-1.46
24.530,1.08,0.06,-0.09,,,,,24.530,1.11,0.07,0.09,24.530,1.12,0.12,-0.16,24.530,1.12,-0.11,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,24.530,1.13,0.06,-1.19
24.540,1.08,0.06,1.55,,,,,24.540,1.11,0.07,-0.06,24.540,1.12,0.11,-0.44,24.540,1.12,-0.10,0.22,,,,,,,,,,,,,,,,,,,,,,,,,24.540,1.13,0.05,-0.24
24.550,1.09,0.10,2.42,,,,,24.550,1.11,0.06,-0.21,24.550,1.12,0.11,0.08,24.550,1.12,-0.11,0.00,,,,,,,,,,,,,,,,,,,,,,,,,24.550,1.13,0.07,0.04
24.560,1.09,0.13,1.40,,,,,24.560,1.11,0.06,-0.16,24.560,1.12,0.10,0.54,24.560,1.12,-0.10,-0.40,,,,,,,,,,,,,,,,,,,,,,,,,24.560,1.13,0.07,-0.85
24.570,1.09,0.13,-0.50,,,,,24.570,1.11,0.06,-0.08,24.570,1.12,0.13,0.65,24.570,1.12,-0.11,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,24.570,1.13,0.05,-1.78
24.580,1.09,0.11,-1.34,,,,,24.580,1.11,0.06,-0.10,24.580,1.12,0.13,0.20,24.580,1.12,-0.12,-0.41,,,,,,,,,,,,,,,,,,,,,,,,,24.580,1.13,0.02,-2.10
24.590,1.09,0.09,-0.90,,,,,24.590,1.11,0.06,-0.26,24.590,1.13,0.13,-0.69,24.590,1.12,-0.11,0.07,,,,,,,,,,,,,,,,,,,,,,,,,24.590,1.13,0.01,-2.10
24.600,1.09,0.09,-0.23,,,,,24.600,1.11,0.06,-0.40,24.600,1.13,0.12,-1.16,24.600,1.11,-0.13,0.85,,,,,,,,,,,,,,,,,,,,,,,,,24.600,1.13,-0.02,-2.24
24.610,1.09,0.09,0.11,,,,,24.610,1.11,0.05,-0.38,24.610,1.13,0.10,-1.37,24.610,1.11,-0.10,1.35,,,,,,,,,,,,,,,,,,,,,,,,,24.610,1.13,-0.04,-1.96
24.620,1.09,0.09,0.21,,,,,24.620,1.11,0.05,-0.22,24.620,1.13,0.09,-1.08,24.620,1.11,-0.08,1.42,,,,,,,,,,,,,,,,,,,,,,,,,24.620,1.13,-0.06,-0.99
24.630,1.09,0.10,0.33,,,,,24.630,1.11,0.05,-0.05,24.630,1.13,0.08,-0.83,24.630,1.11,-0.08,0.28,,,,,,,,,,,,,,,,,,,,,,,,,24.630,1.13,-0.06,-0.21
24.640,1.09,0.10,0.36,,,,,24.640,1.11,0.05,-0.16,24.640,1.13,0.07,-1.18,24.640,1.11,-0.06,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,24.640,1.13,-0.05,-0.37
24.650,1.10,0.11,0.27,,,,,24.650,1.11,0.05,-0.45,24.650,1.13,0.06,-1.80,24.650,1.11,-0.10,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,24.650,1.13,-0.06,-1.00
24.660,1.10,0.11,0.16,,,,,24.660,1.11,0.04,-0.59,24.660,1.13,0.03,-1.99,24.660,1.11,-0.10,0.62,,,,,,,,,,,,,,,,,,,,,,,,,24.660,1.13,-0.08,-1.21
24.670,1.10,0.11,0.06,,,,,24.670,1.11,0.03,-0.54,24.670,1.13,0.01,-1.53,24.670,1.11,-0.06,0.69,,,,,,,,,,,,,,,,,,,,,,,,,24.670,1.13,-0.09,-0.65
24.680,1.10,0.11,0.15,,,,,24.680,1.11,0.03,-0.46,24.680,1.13,0.00,-1.23,24.680,1.11,-0.06,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,24.680,1.13,-0.10,0.31
24.690,1.10,0.11,0.33,,,,,24.690,1.12,0.02,-0.53,24.690,1.13,0.00,-1.56,24.690,1.11,-0.09,-0.50,,,,,,,,,,,,,,,,,,,,,,,,,24.690,1.12,-0.09,0.89
24.700,1.10,0.12,0.36,,,,,24.700,1.12,0.02,-0.54,24.700,1.13,-0.03,-2.02,24.700,1.11,-0.10,0.99,,,,,,,,,,,,,,,,,,,,,,,,,24.700,1.12,-0.07,0.84
24.710,1.10,0.12,0.24,,,,,24.710,1.12,0.01,-0.46,24.710,1.13,-0.05,-2.07,24.710,1.10,-0.06,1.21,,,,,,,,,,,,,,,,,,,,,,,,,24.710,1.12,-0.07,-0.07
24.720,1.10,0.12,0.30,,,,,24.720,1.12,0.01,-0.49,24.720,1.13,-0.07,-1.75,24.720,1.11,-0.04,-0.10,,,,,,,,,,,,,,,,,,,,,,,,,24.720,1.12,-0.07,-0.80
24.730,1.10,0.12,0.20,,,,,24.730,1.12,0.00,-0.62,24.730,1.13,-0.09,-1.35,24.730,1.10,-0.08,-0.79,,,,,,,,,,,,,,,,,,,,,,,,,24.730,1.12,-0.09,-0.78
24.740,1.11,0.13,-0.32,,,,,24.740,1.12,-0.01,-0.67,24.740,1.13,-0.10,-1.03,24.740,1.10,-0.08,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,24.740,1.12,-0.09,-0.43
24.750,1.11,0.12,-0.87,,,,,24.750,1.12,-0.01,-0.52,24.750,1.13,-0.10,-0.62,24.750,1.10,-0.06,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,24.750,1.12,-0.09,-0.08
24.760,1.11,0.10,-0.71,,,,,24.760,1.12,-0.02,-0.33,24.760,1.13,-0.11,-0.25,24.760,1.10,-0.07,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,24.760,1.12,-0.10,0.03
24.770,1.11,0.10,0.29,,,,,24.770,1.11,-0.02,-0.30,24.770,1.13,-0.11,-0.24,24.770,1.10,-0.09,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,24.770,1.12,-0.09,0.11
24.780,1.11,0.11,0.91,,,,,24.780,1.11,-0.02,-0.41,24.780,1.12,-0.11,-0.06,24.780,1.10,-0.08,0.26,,,,,,,,,,,,,,,,,,,,,,,,,24.780,1.12,-0.09,0.06
24.790,1.11,0.13,0.87,,,,,24.790,1.11,-0.03,-0.49,24.790,1.12,-0.12,-0.02,24.790,1.10,-0.07,0.38,,,,,,,,,,,,,,,,,,,,,,,,,24.790,1.12,-0.09,-0.03
24.800,1.11,0.13,0.38,,,,,24.800,1.11,-0.03,-0.46,24.800,1.12,-0.10,0.09,24.800,1.10,-0.08,0.38,,,,,,,,,,,,,,,,,,,,,,,,,24.800,1.12,-0.09,0.06
24.810,1.11,0.13,-0.10,,,,,24.810,1.11,-0.04,-0.33,24.810,1.12,-0.12,-0.10,24.810,1.10,-0.07,0.46,,,,,,,,,,,,,,,,,,,,,,,,,24.810,1.11,-0.09,0.25
24.820,1.12,0.13,-0.43,,,,,24.820,1.11,-0.04,-0.33,24.820,1.12,-0.11,-0.31,24.820,1.10,-0.06,0.24,,,,,,,,,,,,,,,,,,,,,,,,,24.820,1.11,-0.09,0.09
24.830,1.12,0.12,-0.70,,,,,24.830,1.11,-0.04,-0.37,24.830,1.12,-0.12,0.50,24.830,1.10,-0.06,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,24.830,1.11,-0.08,-0.26
24.840,1.12,0.11,-0.54,,,,,24.840,1.11,-0.05,-0.27,24.840,1.12,-0.12,0.87,24.840,1.10,-0.07,-0.10,,,,,,,,,,,,,,,,,,,,,,,,,24.840,1.11,-0.09,-0.51
24.850,1.12,0.11,0.06,,,,,24.850,1.11,-0.05,-0.14,24.850,1.12,-0.08,0.85,24.850,1.10,-0.07,0.82,,,,,,,,,,,,,,,,,,,,,,,,,24.850,1.11,-0.10,-0.25
24.860,1.12,0.11,0.43,,,,,24.860,1.11,-0.05,-0.11,24.860,1.12,-0.10,0.06,24.860,1.10,-0.06,1.47,,,,,,,,,,,,,,,,,,,,,,,,,24.860,1.11,-0.10,0.61
24.870,1.12,0.13,-0.21,,,,,24.870,1.11,-0.05,-0.24,24.870,1.12,-0.09,-0.70,24.870,1.10,-0.03,0.75,,,,,,,,,,,,,,,,,,,,,,,,,24.870,1.11,-0.09,1.33
24.880,1.12,0.12,-1.39,,,,,24.880,1.11,-0.05,-0.27,24.880,1.11,-0.11,-0.22,24.880,1.09,-0.03,-0.85,,,,,,,,,,,,,,,,,,,,,,,,,24.880,1.11,-0.06,1.23
24.890,1.12,0.09,-2.08,,,,,24.890,1.11,-0.06,-0.17,24.890,1.11,-0.11,-0.08,24.890,1.10,-0.06,-1.66,,,,,,,,,,,,,,,,,,,,,,,,,24.890,1.11,-0.05,0.34
24.900,1.12,0.07,-1.17,,,,,24.900,1.11,-0.06,-0.06,24.900,1.11,-0.09,-0.10,24.900,1.09,-0.08,-0.63,,,,,,,,,,,,,,,,,,,,,,,,,24.900,1.11,-0.06,-0.47
24.910,1.13,0.05,0.16,,,,,24.910,1.11,-0.06,0.02,24.910,1.11,-0.11,-0.38,24.910,1.09,-0.08,1.17,,,,,,,,,,,,,,,,,,,,,,,,,24.910,1.11,-0.07,-1.17
24.920,1.13,0.08,0.76,,,,,24.920,1.11,-0.06,-0.03,24.920,1.11,-0.11,-0.23,24.920,1.09,-0.04,2.21,,,,,,,,,,,,,,,,,,,,,,,,,24.920,1.11,-0.08,-1.86
24.930,1.13,0.08,0.54,,,,,24.930,1.11,-0.06,-0.11,24.930,1.11,-0.11,0.70,24.930,1.09,-0.02,1.96,,,,,,,,,,,,,,,,,,,,,,,,,24.930,1.10,-0.11,-1.62
24.940,1.13,0.08,-0.03,,,,,24.940,1.11,-0.06,-0.09,24.940,1.11,-0.10,0.87,24.940,1.09,0.00,0.72,,,,,,,,,,,,,,,,,,,,,,,,,24.940,1.10,-0.13,0.13
24.950,1.13,0.08,-0.13,,,,,24.950,1.11,-0.06,0.06,24.950,1.11,-0.08,0.62,24.950,1.09,-2.73E-4,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,24.950,1.10,-0.11,1.92
24.960,1.13,0.08,-0.64,,,,,24.960,1.11,-0.06,0.21,24.960,1.10,-0.09,0.03,24.960,1.09,-0.02,-1.19,,,,,,,,,,,,,,,,,,,,,,,,,24.960,1.10,-0.07,1.69
24.970,1.13,0.08,-1.16,,,,,24.970,1.11,-0.05,0.17,24.970,1.11,-0.09,-0.67,24.970,1.09,-0.03,-1.02,,,,,,,,,,,,,,,,,,,,,,,,,24.970,1.10,-0.06,0.13
24.980,1.13,0.05,-1.15,,,,,24.980,1.10,-0.05,0.05,24.980,1.10,-0.10,-0.79,24.980,1.09,-0.04,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,24.980,1.10,-0.08,-0.44
24.990,1.13,0.04,-0.89,,,,,24.990,1.10,-0.05,0.02,24.990,1.10,-0.11,-0.52,24.990,1.09,-0.04,0.31,,,,,,,,,,,,,,,,,,,,,,,,,24.990,1.10,-0.09,0.42
25.000,1.13,0.05,-0.93,,,,,25.000,1.10,-0.06,0.14,25.000,1.10,-0.11,0.23,25.000,1.09,-0.03,0.61,,,,,,,,,,,,,,,,,,,,,,,,,25.000,1.10,-0.07,1.20
25.010,1.13,0.03,-1.66,,,,,25.010,1.10,-0.05,0.17,25.010,1.10,-0.10,1.05,25.010,1.09,-0.02,0.67,,,,,,,,,,,,,,,,,,,,,,,,,25.010,1.10,-0.05,0.80
25.020,1.13,0.01,-2.29,,,,,25.020,1.10,-0.05,0.08,25.020,1.10,-0.09,1.30,25.020,1.09,-0.02,0.71,,,,,,,,,,,,,,,,,,,,,,,,,25.020,1.10,-0.05,-0.10
25.030,1.13,-0.02,-2.44,,,,,25.030,1.10,-0.05,-0.08,25.030,1.10,-0.07,0.53,25.030,1.09,-0.01,0.62,,,,,,,,,,,,,,,,,,,,,,,,,25.030,1.10,-0.06,-0.44
25.040,1.13,-0.04,-2.05,,,,,25.040,1.10,-0.05,-0.01,25.040,1.10,-0.07,-0.58,25.040,1.09,0.00,0.27,,,,,,,,,,,,,,,,,,,,,,,,,25.040,1.10,-0.06,-0.07
25.050,1.13,-0.06,-1.40,,,,,25.050,1.10,-0.05,0.22,25.050,1.10,-0.10,-0.43,25.050,1.09,-0.01,0.07,,,,,,,,,,,,,,,,,,,,,,,,,25.050,1.09,-0.06,0.84
25.060,1.13,-0.07,-0.99,,,,,25.060,1.10,-0.05,0.30,25.060,1.10,-0.10,0.79,25.060,1.09,-0.01,0.29,,,,,,,,,,,,,,,,,,,,,,,,,25.060,1.09,-0.05,1.62
25.070,1.13,-0.08,-0.86,,,,,25.070,1.10,-0.04,0.25,25.070,1.10,-0.06,1.03,25.070,1.09,1.41E-4,0.64,,,,,,,,,,,,,,,,,,,,,,,,,25.070,1.09,-0.02,1.62
25.080,1.13,-0.09,-0.91,,,,,25.080,1.10,-0.04,0.19,25.080,1.10,-0.05,-0.33,25.080,1.09,0.01,0.76,,,,,,,,,,,,,,,,,,,,,,,,,25.080,1.09,-0.01,0.46
25.090,1.13,-0.09,-0.73,,,,,25.090,1.10,-0.04,0.22,25.090,1.09,-0.08,-1.29,25.090,1.09,0.01,0.78,,,,,,,,,,,,,,,,,,,,,,,,,25.090,1.09,-0.01,-1.17
25.100,1.13,-0.11,-0.64,,,,,25.100,1.10,-0.04,0.14,25.100,1.09,-0.10,-0.33,25.100,1.09,0.02,0.79,,,,,,,,,,,,,,,,,,,,,,,,,25.100,1.09,-0.04,-1.80
25.110,1.13,-0.11,-0.75,,,,,25.110,1.10,-0.04,-0.06,25.110,1.09,-0.09,1.42,25.110,1.09,0.03,0.60,,,,,,,,,,,,,,,,,,,,,,,,,25.110,1.09,-0.06,-0.93
25.120,1.12,-0.12,-0.84,,,,,25.120,1.10,-0.04,-0.08,25.120,1.09,-0.06,1.89,25.120,1.09,0.04,0.22,,,,,,,,,,,,,,,,,,,,,,,,,25.120,1.09,-0.06,0.73
25.130,1.12,-0.13,-0.84,,,,,25.130,1.10,-0.04,0.18,25.130,1.09,-0.04,0.56,25.130,1.09,0.04,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,25.130,1.09,-0.04,1.78
25.140,1.12,-0.13,-0.44,,,,,25.140,1.10,-0.04,0.43,25.140,1.09,-0.04,-1.05,25.140,1.09,0.03,-0.58,,,,,,,,,,,,,,,,,,,,,,,,,25.140,1.09,-0.01,1.63
25.150,1.12,-0.14,-0.05,,,,,25.150,1.10,-0.03,0.48,25.150,1.09,-0.07,-1.12,25.150,1.09,0.03,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,25.150,1.09,0.00,0.64
25.160,1.12,-0.13,0.17,,,,,25.160,1.10,-0.03,0.33,25.160,1.09,-0.08,0.43,25.160,1.09,0.01,-1.04,,,,,,,,,,,,,,,,,,,,,,,,,25.160,1.09,0.00,-0.30
25.170,1.12,-0.13,-0.01,,,,,25.170,1.10,-0.02,0.17,25.170,1.09,-0.06,1.97,25.170,1.09,0.00,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,25.170,1.09,-0.01,-0.24
25.180,1.12,-0.13,0.02,,,,,25.180,1.10,-0.02,0.05,25.180,1.09,-0.03,1.78,25.180,1.09,0.00,0.60,,,,,,,,,,,,,,,,,,,,,,,,,25.180,1.09,-0.02,0.51
25.190,1.12,-0.14,0.78,,,,,25.190,1.10,-0.02,0.02,25.190,1.09,-0.01,0.22,25.190,1.09,0.02,1.26,,,,,,,,,,,,,,,,,,,,,,,,,25.190,1.09,1.39E-4,0.96
25.200,1.11,-0.12,1.48,,,,,25.200,1.10,-0.02,0.11,25.200,1.09,-0.03,-1.01,25.200,1.09,0.03,1.48,,,,,,,,,,,,,,,,,,,,,,,,,25.200,1.09,0.01,0.39
25.210,1.11,-0.09,1.12,,,,,25.210,1.10,-0.02,0.22,25.210,1.09,-0.05,-0.85,25.210,1.09,0.05,1.33,,,,,,,,,,,,,,,,,,,,,,,,,25.210,1.09,0.01,-0.62
25.220,1.11,-0.09,-0.40,,,,,25.220,1.10,-0.02,0.29,25.220,1.09,-0.05,0.18,25.220,1.09,0.06,0.67,,,,,,,,,,,,,,,,,,,,,,,,,25.220,1.09,-0.01,-0.83
25.230,1.11,-0.11,-1.15,,,,,25.230,1.10,-0.02,0.30,25.230,1.09,-0.04,0.71,25.230,1.09,0.06,-0.40,,,,,,,,,,,,,,,,,,,,,,,,,25.230,1.09,-0.02,-0.16
25.240,1.11,-0.13,-0.44,,,,,25.240,1.10,-0.01,0.27,25.240,1.09,-0.03,0.44,25.240,1.09,0.05,-1.09,,,,,,,,,,,,,,,,,,,,,,,,,25.240,1.09,-0.01,0.67
25.250,1.11,-0.12,0.75,,,,,25.250,1.10,-0.01,0.14,25.250,1.09,-0.03,-0.08,25.250,1.10,0.03,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,25.250,1.09,0.00,0.95
25.260,1.11,-0.10,1.07,,,,,25.260,1.09,-0.01,0.11,25.260,1.09,-0.04,0.03,25.260,1.10,0.03,0.55,,,,,,,,,,,,,,,,,,,,,,,,,25.260,1.09,0.01,0.66
25.270,1.11,-0.09,0.20,,,,,25.270,1.10,-0.01,0.21,25.270,1.09,-0.04,0.82,25.270,1.10,0.05,1.20,,,,,,,,,,,,,,,,,,,,,,,,,25.270,1.09,0.02,0.29
25.280,1.11,-0.10,-0.62,,,,,25.280,1.09,0.00,0.35,25.280,1.09,-0.02,1.35,25.280,1.10,0.07,0.73,,,,,,,,,,,,,,,,,,,,,,,,,25.280,1.09,0.02,0.18
25.290,1.10,-0.11,-0.76,,,,,25.290,1.09,-9.12E-4,0.33,25.290,1.08,0.00,0.97,25.290,1.10,0.06,0.03,,,,,,,,,,,,,,,,,,,,,,,,,25.290,1.09,0.02,0.53
25.300,1.10,-0.12,-0.33,,,,,25.300,1.10,0.00,0.16,25.300,1.09,0.01,-0.01,25.300,1.10,0.05,0.18,,,,,,,,,,,,,,,,,,,,,,,,,25.300,1.09,0.02,0.98
25.310,1.10,-0.12,0.18,,,,,25.310,1.09,0.00,0.08,25.310,1.09,0.00,-0.50,25.310,1.10,0.06,0.73,,,,,,,,,,,,,,,,,,,,,,,,,25.310,1.09,0.04,0.91
25.320,1.10,-0.11,0.43,,,,,25.320,1.09,0.00,0.10,25.320,1.08,-0.01,-0.15,25.320,1.10,0.08,0.45,,,,,,,,,,,,,,,,,,,,,,,,,25.320,1.09,0.05,0.12
25.330,1.10,-0.11,0.49,,,,,25.330,1.09,0.00,0.27,25.330,1.08,-0.01,0.42,25.330,1.10,0.08,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,25.330,1.09,0.04,-0.79
25.340,1.10,-0.10,0.27,,,,,25.340,1.09,0.01,0.36,25.340,1.08,0.00,0.68,25.340,1.10,0.06,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,25.340,1.09,0.03,-0.90
25.350,1.10,-0.10,0.08,,,,,25.350,1.10,0.01,0.28,25.350,1.08,0.01,0.64,25.350,1.10,0.06,0.62,,,,,,,,,,,,,,,,,,,,,,,,,25.350,1.09,0.02,-0.16
25.360,1.10,-0.11,0.29,,,,,25.360,1.10,0.01,0.11,25.360,1.08,0.01,0.57,25.360,1.10,0.09,0.42,,,,,,,,,,,,,,,,,,,,,,,,,25.360,1.09,0.03,0.66
25.370,1.10,-0.10,0.51,,,,,25.370,1.10,0.01,0.02,25.370,1.09,0.02,0.60,25.370,1.10,0.09,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,25.370,1.09,0.04,0.98
25.380,1.10,-0.09,0.29,,,,,25.380,1.10,0.01,0.11,25.380,1.09,0.02,0.54,25.380,1.10,0.06,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,25.380,1.09,0.05,0.79
25.390,1.09,-0.09,0.53,,,,,25.390,1.10,0.02,0.22,25.390,1.09,0.03,0.33,25.390,1.10,0.07,1.03,,,,,,,,,,,,,,,,,,,,,,,,,25.390,1.10,0.05,0.36
25.400,1.09,-0.10,1.30,,,,,25.400,1.10,0.02,0.32,25.400,1.09,0.03,0.16,25.400,1.10,0.11,0.97,,,,,,,,,,,,,,,,,,,,,,,,,25.400,1.10,0.06,0.00
25.410,1.09,-0.05,0.96,,,,,25.410,1.10,0.02,0.24,25.410,1.09,0.03,0.11,25.410,1.11,0.11,-0.60,,,,,,,,,,,,,,,,,,,,,,,,,25.410,1.10,0.05,0.05
25.420,1.09,-0.04,-0.91,,,,,25.420,1.10,0.03,0.06,25.420,1.09,0.03,0.09,25.420,1.11,0.08,-1.95,,,,,,,,,,,,,,,,,,,,,,,,,25.420,1.10,0.05,0.58
25.430,1.09,-0.09,-2.00,,,,,25.430,1.10,0.02,-0.05,25.430,1.09,0.04,-0.10,25.430,1.11,0.06,-1.46,,,,,,,,,,,,,,,,,,,,,,,,,25.430,1.10,0.06,0.90
25.440,1.09,-0.12,-0.27,,,,,25.440,1.10,0.02,0.08,25.440,1.09,0.03,-0.20,25.440,1.11,0.04,0.81,,,,,,,,,,,,,,,,,,,,,,,,,25.440,1.10,0.08,0.49
25.450,1.09,-0.10,1.63,,,,,25.450,1.10,0.02,0.33,25.450,1.09,0.03,0.09,25.450,1.11,0.06,2.77,,,,,,,,,,,,,,,,,,,,,,,,,25.450,1.10,0.08,-0.17
25.460,1.09,-0.05,1.21,,,,,25.460,1.10,0.03,0.38,25.460,1.09,0.03,0.66,25.460,1.11,0.12,2.10,,,,,,,,,,,,,,,,,,,,,,,,,25.460,1.10,0.07,-0.19
25.470,1.09,-0.06,-0.44,,,,,25.470,1.10,0.03,0.24,25.470,1.09,0.04,1.03,25.470,1.11,0.14,-1.16,,,,,,,,,,,,,,,,,,,,,,,,,25.470,1.10,0.07,0.40
25.480,1.09,-0.08,-0.71,,,,,25.480,1.10,0.03,0.06,25.480,1.09,0.06,0.80,25.480,1.11,0.09,-3.60,,,,,,,,,,,,,,,,,,,,,,,,,25.480,1.10,0.08,0.44
25.490,1.09,-0.09,0.55,,,,,25.490,1.10,0.03,-0.02,25.490,1.09,0.06,-0.18,25.490,1.11,0.03,-2.28,,,,,,,,,,,,,,,,,,,,,,,,,25.490,1.10,0.09,-0.08
